easting,northing,density
350000,110000,0.0028517111
470000,170000,0.0052470486
500000,180000,0.005166475
370000,170000,0.012861736
300000,80000,0.00857449
400000,180000,0.010152284
300000,180000,0.0063348417
380000,210000,0.0074309977
580000,210000,0.0011709601
220000,50000,0.0027173914
410000,1160000,0.015503876
450000,110000,0.0072639226
260000,40000,0.010204081
570000,170000,0.0014749262
340000,860000,0.004494382
260000,540000,0.014705882
400000,340000,0.008802817
480000,210000,0.0046260604
500000,340000,0.006633499
330000,440000,0.004576659
240000,230000,0.014705882
390000,390000,0.007849294
510000,140000,0.0076726344
410000,140000,0.0034662045
440000,150000,0.015306123
390000,560000,0.008298756
340000,400000,0.009909166
540000,150000,0.006684492
190000,560000,0.008064516
510000,210000,0.0065502184
610000,140000,0.009803922
460000,370000,0.008547009
330000,280000,0.01923077
640000,320000,0.0064935065
370000,410000,0.006329114
610000,210000,0.0053361794
430000,280000,0.005572442
540000,320000,0.009615385
530000,190000,0.0031627372
440000,400000,0.004048583
340000,150000,0.002967359
440000,320000,0.0033726813
290000,70000,0.0012722646
530000,280000,0.0028901733
440000,230000,0.0033783785
540000,230000,0.003215434
630000,280000,0.0030487804
330000,980000,0.02586207
490000,390000,0.035714287
370000,260000,0.013274336
310000,680000,8.2850043E-4
470000,260000,0.0030395137
220000,100000,0.008196721
420000,100000,0.018072288
320000,100000,0.007575758
500000,420000,0.003550296
430000,510000,0.006633499
400000,420000,0.0025261638
430000,360000,0.0038095238
330000,190000,0.006289308
300000,250000,0.02631579
460000,450000,0.006702413
330000,360000,0.002388535
280000,130000,0.0116959065
400000,250000,0.0022371365
380000,130000,0.0037037036
600000,250000,0.001345895
380000,300000,0.006134969
360000,450000,0.02
500000,250000,0.0032858707
520000,100000,0.008103727
320000,390000,0.0042643924
480000,220000,0.007490637
480000,300000,0.004524887
420000,550000,0.0061387355
420000,1170000,0.0054644807
340000,790000,0.023255814
350000,650000,0.05882353
380000,140000,0.008319467
220000,550000,0.010204081
400000,330000,0.003968254
550000,120000,0.0058651026
310000,690000,0.0017271157
350000,490000,0.0033613446
380000,670000,0.016393442
350000,830000,0.0070921984
150000,750000,0.008547009
320000,730000,0.006535948
220000,650000,0.0066006603
580000,140000,0.0028571428
310000,930000,0.015625
300000,510000,0.004878049
330000,270000,0.02739726
470000,180000,0.0053475937
500000,170000,0.002905569
360000,530000,0.00862069
580000,200000,0.0032894737
450000,100000,0.0038591414
530000,270000,0.0027322404
370000,340000,0.008086253
380000,200000,0.003508772
250000,670000,8.912656E-4
320000,570000,0.011627907
330000,430000,0.0053956835
310000,210000,0.0118811885
330000,610000,0.04
170000,30000,0.0036697248
320000,630000,0.010928961
260000,370000,0.011428571
300000,90000,0.004201681
310000,590000,0.014184397
240000,690000,0.022727273
270000,180000,0.0077220076
300000,170000,0.01923077
260000,550000,0.01
460000,380000,0.01305483
510000,220000,0.0020140987
550000,90000,0.0034843206
360000,630000,0.012903226
610000,300000,0.0045045046
370000,400000,0.0070507657
390000,550000,0.005050505
290000,640000,0.008695652
430000,290000,0.0030816642
540000,310000,0.0068846815
340000,140000,0.008219178
390000,380000,0.008228195
410000,300000,0.0012269939
330000,970000,0.025641026
440000,220000,0.003921569
360000,460000,0.006289308
340000,310000,0.005376344
290000,80000,0.0016501651
630000,290000,0.003968254
570000,160000,0.0053147995
340000,410000,0.0030487804
370000,500000,0.0076923077
360000,290000,0.004651163
340000,240000,0.018666666
280000,90000,0.00729927
410000,130000,0.002739726
330000,370000,0.0067681894
370000,160000,0.004158004
530000,370000,0.0045045046
370000,330000,0.005602241
610000,130000,0.006666667
430000,350000,0.0061124694
400000,260000,0.01063022
460000,440000,0.0027027028
430000,180000,0.0024813896
430000,520000,0.015686275
260000,610000,0.020547945
470000,420000,0.0029325513
290000,100000,0.0036363637
440000,330000,0.0045543266
600000,260000,0.011730205
410000,840000,0.003984064
470000,250000,0.0020661156
210000,670000,0.0038910506
390000,490000,0.015873017
490000,100000,0.004854369
420000,110000,0.0022675737
310000,860000,0.00625
250000,200000,0.00147929
240000,220000,0.01056338
370000,270000,0.01
440000,160000,0.0038834952
400000,430000,0.004985755
480000,120000,0.012323944
450000,200000,0.0071471115
300000,240000,0.012658228
400000,400000,0.008196721
140000,30000,0.006637168
600000,320000,0.0028169013
280000,660000,0.006451613
350000,210000,0.017001545
600000,240000,0.010471204
250000,130000,0.0010822511
580000,230000,0.010752688
420000,460000,0.0032467532
370000,190000,0.004484305
480000,150000,0.005313093
470000,190000,0.00477327
580000,310000,0.012448133
280000,230000,0.022988506
330000,500000,0.021621622
320000,380000,0.0060090134
420000,380000,0.020833334
460000,80000,0.007575758
250000,60000,0.0022421526
250000,840000,0.019736841
310000,200000,0.012261581
210000,70000,0.011235955
460000,520000,0.018567638
360000,360000,0.006119951
640000,250000,0.0037037036
450000,1140000,0.00990099
240000,680000,0.006329114
390000,620000,0.0088495575
240000,250000,0.013888889
350000,840000,0.006134969
580000,150000,0.005263158
330000,90000,0.0034965035
600000,160000,0.008474576
540000,300000,0.014869888
500000,160000,0.0030674846
330000,260000,0.004405286
430000,260000,0.0041631972
300000,520000,0.0044247787
470000,350000,0.0019157088
430000,90000,0.008474576
320000,580000,0.00952381
570000,150000,0.0045523522
470000,320000,0.0033003301
330000,380000,0.0053274836
260000,640000,0.008928572
380000,780000,0.02052786
410000,230000,0.004016064
270000,150000,0.05882353
510000,230000,0.0025
300000,190000,0.0016501651
360000,390000,0.0046811
250000,100000,0.010309278
610000,310000,0.00789177
400000,270000,0.019167218
500000,360000,0.0026737968
510000,310000,0.0025575447
370000,240000,0.009400705
310000,830000,0.010989011
380000,110000,0.00862069
540000,170000,0.0025655644
280000,110000,0.003236246
170000,860000,0.040816326
370000,600000,0.025974026
320000,660000,0.028455285
300000,270000,0.010869565
530000,340000,0.005442177
560000,280000,0.046875
320000,700000,0.0012578616
430000,340000,0.003929273
280000,690000,0.0034013605
330000,530000,0.011764706
330000,960000,0.020408163
290000,110000,0.007898894
290000,900000,0.015873017
430000,530000,0.002057613
390000,370000,0.003187251
260000,280000,0.014218009
310000,120000,0.0019305019
540000,210000,0.0049079754
490000,370000,0.006018054
630000,170000,0.018058691
440000,340000,0.0039259675
290000,90000,0.0064896755
500000,150000,0.005785124
420000,390000,0.0014947683
580000,300000,0.0049875313
600000,230000,0.0061099795
470000,280000,0.0016666667
380000,400000,0.0045526973
460000,90000,0.004405286
360000,430000,0.0015748031
380000,830000,0.0070422534
250000,50000,0.0036231885
350000,140000,0.0013586957
330000,510000,0.012903226
360000,510000,0.014705882
400000,410000,0.005159071
480000,140000,0.0046765395
430000,330000,0.004158004
450000,220000,0.00660502
460000,190000,0.004950495
580000,160000,0.003937008
470000,340000,0.0035211267
260000,30000,0.04255319
430000,270000,0.0058962265
410000,160000,0.0027472528
440000,420000,0.009803922
480000,200000,0.004746835
320000,590000,0.009345794
380000,770000,0.0053475937
360000,370000,0.0036443148
420000,1150000,0.005076142
440000,130000,0.0048387097
220000,60000,0.004149378
270000,230000,0.011173184
390000,290000,0.004712149
140000,20000,0.01618123
610000,320000,0.006521739
390000,630000,0.0061728396
370000,180000,0.001572327
340000,80000,0.025
420000,450000,0.001459854
460000,100000,0.004314064
390000,200000,0.0036764706
360000,380000,0.0051052966
530000,290000,0.0070422534
510000,300000,0.003550296
400000,280000,0.0056524943
220000,70000,0.014814815
430000,540000,0.0092783505
540000,220000,0.004680187
460000,460000,0.003690037
570000,140000,0.010230179
210000,320000,0.012048192
470000,330000,0.01904762
310000,130000,0.0025
280000,100000,0.0046838406
440000,410000,0.001572327
300000,970000,0.015625
240000,670000,0.0055991043
360000,440000,0.0043668123
330000,950000,0.012295082
280000,680000,0.0024115755
330000,520000,0.010204081
320000,370000,0.0046153846
500000,430000,0.004730928
340000,330000,0.004651163
340000,760000,0.017857144
430000,1180000,0.004950495
390000,360000,0.0056179776
240000,180000,0.012048192
260000,570000,0.013274336
520000,110000,0.003875969
320000,710000,0.004
350000,630000,0.0075329565
290000,550000,0.016129032
290000,120000,0.002096436
380000,120000,0.005263158
540000,160000,0.0040946314
350000,200000,0.0064935065
370000,310000,0.009247027
330000,180000,0.008097166
510000,240000,0.0049916804
560000,270000,0.007633588
530000,240000,0.0017241379
310000,80000,0.005076142
330000,240000,0.027027028
430000,160000,0.0046948357
540000,190000,0.0058377115
460000,420000,0.006024096
270000,370000,0.0021834061
330000,320000,0.02811245
430000,320000,0.0040241447
520000,130000,0.003071253
530000,400000,0.0023980816
620000,130000,0.00443787
630000,160000,0.0068823122
290000,520000,0.003717472
410000,100000,0.0051020407
500000,140000,0.0014662757
450000,310000,0.0022744504
600000,220000,0.0023809525
350000,230000,0.012152778
370000,290000,0.0021551724
240000,190000,0.012987013
360000,340000,0.0033783785
440000,270000,0.005800464
320000,130000,0.0014184397
390000,440000,0.003502627
420000,210000,0.0031347962
640000,270000,0.002793296
320000,990000,0.016393442
340000,190000,0.02097902
490000,90000,0.0066079297
440000,120000,0.0015128592
350000,540000,0.03539823
510000,330000,0.006369427
520000,280000,0.008720931
520000,440000,0.0054054055
310000,170000,0.0062524425
240000,80000,0.009090909
500000,220000,0.005511022
620000,280000,0.004854369
360000,180000,0.0018416207
460000,180000,0.0066225166
480000,170000,0.0011574074
350000,380000,0.0054031587
330000,390000,0.0049751243
300000,220000,0.004830918
280000,170000,0.005484461
280000,70000,0.004302926
340000,430000,0.0027137042
560000,90000,0.00862069
240000,660000,0.0043763677
410000,570000,0.0038461538
590000,200000,0.004484305
460000,110000,0.0047003524
400000,290000,0.005586592
320000,680000,0.0035842294
340000,830000,0.011363637
430000,1120000,0.012121212
200000,530000,0.025641026
560000,110000,0.0036101083
400000,460000,0.0037453184
330000,470000,0.008230452
130000,20000,0.0048076925
430000,550000,0.0066503324
470000,90000,0.0033444816
330000,640000,0.03883495
220000,80000,0.020689655
270000,40000,0.00882353
340000,750000,0.012820513
220000,610000,0.023255814
490000,130000,0.0053003533
580000,240000,0.00622084
540000,90000,0.008658009
410000,250000,0.0075329565
370000,130000,0.0033444816
290000,670000,0.020576132
340000,1050000,0.011494253
560000,260000,0.010504202
300000,680000,0.0050314465
430000,470000,0.012544803
300000,380000,0.0048250905
180000,730000,0.00591716
430000,400000,0.008178439
450000,1190000,0.0058479533
440000,510000,0.003671072
410000,420000,0.0020401224
310000,720000,0.002967359
550000,150000,0.0076754387
280000,560000,0.008810572
250000,300000,0.010752688
540000,360000,0.0028248588
450000,300000,0.004265908
400000,150000,0.007633588
430000,410000,0.0052785925
370000,280000,0.003921569
460000,170000,0.0015186028
470000,360000,0.004347826
530000,230000,0.007905139
540000,180000,0.0061903535
340000,1040000,0.0057142857
520000,290000,0.0032467532
640000,260000,0.005263158
440000,110000,0.007457627
460000,430000,0.0040650405
490000,430000,0.0025
300000,230000,0.016129032
520000,300000,0.0028011205
350000,400000,0.010428306
350000,220000,0.008333334
240000,70000,0.0077319588
330000,330000,0.0025188916
390000,610000,0.012345679
560000,250000,0.0032786885
500000,230000,0.0037128713
340000,420000,0.0056980057
470000,210000,0.007352941
360000,190000,0.0022883294
480000,160000,0.0037990713
350000,370000,0.0029985008
600000,210000,0.009111618
260000,660000,0.0076781325
270000,210000,0.0040650405
280000,80000,0.0028901733
430000,560000,0.0043117744
360000,350000,0.0025974025
440000,260000,0.002631579
510000,320000,0.0057142857
390000,450000,0.0044776117
630000,310000,0.0017793594
480000,340000,0.007633588
490000,290000,0.018348623
380000,810000,0.0023255814
340000,130000,0.007246377
170000,230000,0.04761905
290000,200000,0.010204081
520000,140000,0.0049309665
430000,310000,0.0065717413
310000,160000,0.0063211126
560000,100000,0.005966587
620000,270000,0.008097166
360000,200000,0.0050083473
500000,280000,0.0038022813
560000,200000,0.0076045627
320000,520000,0.0037037036
410000,390000,0.0116959065
380000,100000,0.0073891627
580000,100000,0.010810811
410000,560000,0.0027510317
380000,790000,0.009433962
260000,650000,0.0063434527
460000,120000,0.0035460992
200000,540000,0.011976048
430000,460000,0.0019880715
330000,650000,0.009433962
360000,740000,0.004140787
540000,200000,0.005727377
440000,500000,0.0034843206
410000,410000,0.002793296
420000,370000,0.0027777778
290000,360000,0.009433962
500000,130000,0.003327787
550000,160000,0.0030165913
280000,550000,0.0051020407
340000,180000,0.00921659
240000,650000,0.0032894737
620000,220000,0.0022573364
320000,670000,0.0056179776
410000,240000,0.005988024
430000,1110000,0.012
380000,250000,0.004221636
580000,250000,0.014981274
290000,680000,0.001610306
450000,460000,0.0032051282
320000,840000,0.0051282053
330000,480000,0.011019284
400000,860000,0.016
410000,270000,0.0022970904
490000,420000,0.014634146
280000,50000,0.0037688443
440000,530000,0.003726708
460000,160000,0.004213483
590000,340000,0.0054054055
500000,240000,0.007423905
560000,240000,0.0016233766
400000,160000,0.0022935779
310000,190000,0.0038669761
270000,200000,0.0062370063
430000,420000,0.0056926
330000,340000,0.0059435363
270000,630000,0.022727273
380000,660000,0.008333334
370000,120000,0.0023640662
490000,260000,0.005446623
440000,100000,0.0016652789
570000,190000,0.003147954
380000,230000,0.009375
550000,130000,0.0021857924
280000,580000,0.006535948
340000,450000,0.0070588235
400000,320000,0.002570694
430000,1140000,0.01604278
190000,700000,0.030303031
470000,510000,0.009049774
430000,300000,0.0032573289
440000,250000,0.0054945056
520000,150000,0.006049607
430000,140000,0.013265306
490000,140000,0.0036101083
310000,470000,0.009478673
260000,670000,0.0032520324
340000,300000,0.0071174377
270000,190000,0.007674597
340000,730000,0.002218935
270000,90000,0.006666667
350000,680000,0.013745705
380000,510000,0.041237112
460000,400000,0.0023547881
350000,250000,0.006451613
420000,620000,0.007246377
430000,570000,0.002566296
510000,200000,0.0030175014
610000,150000,0.008088979
530000,260000,0.004761905
370000,150000,0.0023584906
480000,180000,0.0058381986
330000,620000,0.021052632
580000,260000,0.0055309734
430000,450000,0.008633094
370000,580000,0.009708738
530000,380000,0.0056818184
530000,100000,0.0042321645
200000,550000,0.0036764706
410000,400000,9.3457947E-4
400000,440000,0.010337323
300000,200000,0.0036764706
300000,790000,0.021276595
390000,300000,0.014954173
460000,130000,0.00949367
590000,220000,0.005323194
470000,240000,0.01058201
340000,1000000,0.0065789474
360000,470000,0.0029498525
340000,170000,0.007121058
580000,110000,0.006451613
470000,390000,0.002994012
450000,320000,0.0054274085
620000,230000,0.004651163
240000,640000,0.0023364485
240000,340000,0.01754386
270000,600000,0.015625
330000,490000,0.002096436
370000,430000,0.0014947683
370000,860000,0.0044444446
380000,390000,0.0077277455
490000,110000,0.010452962
360000,750000,0.010638298
420000,490000,0.00243309
500000,120000,0.0021786492
410000,550000,0.0024671052
270000,60000,0.0023980816
550000,280000,0.0116054155
230000,530000,0.05
280000,570000,0.0067114094
380000,220000,0.0056818184
350000,810000,0.013986014
290000,510000,0.0061728396
460000,410000,0.0014619883
440000,520000,0.008363202
240000,620000,0.01010101
320000,120000,0.009592326
640000,280000,0.014760148
280000,60000,0.00789266
360000,330000,0.011331445
400000,310000,0.0073649753
530000,250000,0.0058708414
510000,340000,0.013333334
550000,140000,0.0037278659
430000,580000,0.002247191
430000,150000,0.0039525693
350000,390000,0.006237817
450000,1170000,0.012048192
310000,180000,0.004471772
340000,720000,0.0027777778
350000,670000,0.006756757
350000,240000,0.006756757
610000,160000,0.0035971224
430000,430000,0.0072383075
300000,640000,0.009803922
350000,100000,0.0057142857
270000,340000,0.010869565
570000,180000,0.003229974
490000,270000,0.0026954177
320000,270000,0.02259887
480000,470000,0.0040983604
340000,1020000,0.00729927
210000,210000,0.012605042
560000,230000,0.0042918455
400000,170000,0.008797654
310000,460000,0.0029850747
240000,90000,0.015384615
320000,690000,0.007976072
330000,630000,0.004115226
480000,190000,0.00538358
300000,370000,0.0025062656
250000,90000,0.007380074
350000,520000,0.009118541
310000,300000,0.0060975607
570000,310000,0.0037313432
230000,110000,0.015151516
490000,120000,0.004784689
420000,350000,0.002008032
470000,230000,0.004672897
440000,240000,0.004398827
290000,60000,0.0064267353
520000,160000,0.0028445823
620000,240000,0.0034364262
370000,420000,0.0027427317
460000,290000,0.0035885167
390000,310000,0.004210526
330000,200000,0.0061919503
470000,500000,0.0054644807
430000,1130000,0.005376344
210000,920000,0.013422819
460000,140000,0.003816794
330000,350000,0.0021261517
380000,380000,0.0022898265
290000,660000,0.008519702
410000,110000,0.0018416207
410000,540000,0.008174387
240000,200000,0.00243309
450000,1180000,0.012269938
490000,400000,0.018181818
470000,380000,0.0056818184
340000,160000,0.0114613185
270000,610000,0.006134969
320000,110000,0.006430868
240000,350000,0.012658228
400000,300000,0.0067377877
320000,540000,0.010869565
450000,330000,0.0044660983
320000,970000,0.008403362
