onsCode,first,second,majority
W07000049,Labour Party,Conservative Party,16761
W07000058,Conservative Party,Labour Party,635
S14000001,Scottish National Party,Labour Party,4139
S14000002,Conservative Party,Scottish National Party,4752
S14000003,Scottish National Party,Labour Party,195
E14000530,Conservative Party,Labour Party,11473
E14000531,Conservative Party,Labour Party,14307
E14000532,Conservative Party,Labour Party,6426
W07000043,Labour Party,Conservative Party,5235
E14000533,Conservative Party,Labour Party,8300
S14000004,Conservative Party,Scottish National Party,2645
W07000057,Plaid Cymru,Labour Party,92
S14000005,Scottish National Party,Conservative Party,1328
E14000534,Conservative Party,Labour Party,23883
E14000535,Labour Party,Conservative Party,441
E14000536,Conservative Party,Labour Party,17478
E14000537,Labour Party,Conservative Party,11295
E14000538,Conservative Party,Labour Party,14656
S14000006,Conservative Party,Scottish National Party,2774
E14000539,Conservative Party,Labour Party,12399
S14000007,Conservative Party,Scottish National Party,3693
E14000540,Labour Party,Conservative Party,21608
E14000541,Labour Party,Conservative Party,15546
E14000542,Labour Party,Conservative Party,13283
E14000543,Labour Party,Conservative Party,209
E14000544,Conservative Party,Labour Party,13400
E14000545,Conservative Party,Labour Party,9466
E14000546,Labour Party,Conservative Party,4852
E14000547,Liberal Democratic Party,Conservative Party,5694
E14000548,Labour Party,Conservative Party,8961
E14000549,Labour Party,Conservative Party,2416
E14000550,Conservative Party,Labour Party,24543
E14000551,Conservative Party,Labour Party,15087
E14000552,Labour Party,Conservative Party,789
N06000001,Democratic Unionist Party,Alliance Party of Northern Ireland,8474
N06000002,Democratic Unionist Party,Sinn FŽin,2081
N06000003,Democratic Unionist Party,Social Democratic and Labour Party,1996
N06000004,Sinn FŽin,Democratic Unionist Party,21652
E14000553,Labour Party,Liberal Democratic Party,12972
S14000008,Conservative Party,Scottish National Party,11060
E14000554,Conservative Party,Labour Party,11781
E14000555,Labour Party,Conservative Party,35393
E14000556,Conservative Party,Labour Party,14042
E14000557,Conservative Party,Labour Party,22165
E14000558,Conservative Party,Labour Party,9073
E14000559,Labour Party,Conservative Party,25514
E14000560,Labour Party,Conservative Party,6917
E14000561,Labour Party,Conservative Party,7285
E14000562,Labour Party,Conservative Party,33944
E14000563,Labour Party,Conservative Party,31026
E14000564,Labour Party,Conservative Party,28714
E14000565,Labour Party,Conservative Party,4667
E14000566,Labour Party,Conservative Party,18383
E14000567,Labour Party,Conservative Party,15207
E14000568,Labour Party,Conservative Party,16574
E14000569,Labour Party,Conservative Party,502
E14000570,Labour Party,Conservative Party,20368
E14000571,Labour Party,Conservative Party,19601
E14000572,Conservative Party,Labour Party,2023
E14000573,Labour Party,Conservative Party,2523
W07000072,Labour Party,Plaid Cymru,11907
E14000574,Labour Party,Conservative Party,13477
E14000575,Labour Party,Conservative Party,7915
E14000576,Conservative Party,Labour Party,17494
E14000577,Labour Party,Conservative Party,5288
E14000578,Labour Party,Conservative Party,3797
E14000579,Labour Party,Conservative Party,13126
E14000580,Conservative Party,Labour Party,936
E14000581,Labour Party,Conservative Party,36200
E14000582,Conservative Party,Labour Party,16572
E14000583,Conservative Party,Labour Party,18351
E14000584,Conservative Party,Labour Party,7937
E14000585,Conservative Party,Labour Party,7711
E14000586,Conservative Party,Labour Party,16016
E14000587,Labour Party,Conservative Party,20540
E14000588,Labour Party,Conservative Party,6700
E14000589,Labour Party,Conservative Party,21902
E14000590,Conservative Party,Labour Party,18422
W07000068,Conservative Party,Liberal Democratic Party,8038
E14000591,Labour Party,Conservative Party,27997
E14000593,Labour Party,Conservative Party,12182
E14000592,Labour Party,Conservative Party,17061
E14000594,Conservative Party,Labour Party,24002
W07000073,Labour Party,Conservative Party,4700
E14000595,Conservative Party,Labour Party,15448
E14000596,Conservative Party,Labour Party,12363
E14000597,Labour Party,Conservative Party,9868
E14000598,Green Party,Labour Party,14699
E14000599,Labour Party,Conservative Party,13394
E14000600,Labour Party,Conservative Party,4761
E14000601,Labour Party,Conservative Party,15987
E14000602,Labour Party,Conservative Party,37336
E14000603,Conservative Party,Labour Party,15816
E14000604,Conservative Party,Labour Party,9590
E14000605,Conservative Party,Labour Party,16573
E14000606,Conservative Party,Labour Party,15792
E14000607,Conservative Party,Labour Party,863
E14000608,Speaker,Green Party,25725
E14000609,Labour Party,Conservative Party,6353
E14000610,Conservative Party,Labour Party,10047
E14000611,Labour Party,Conservative Party,4375
E14000612,Labour Party,Conservative Party,5965
E14000613,Conservative Party,Labour Party,18441
W07000076,Labour Party,Conservative Party,12078
S14000009,Liberal Democratic Party,Scottish National Party,2044
E14000614,Conservative Party,Labour Party,609
E14000615,Labour Party,Conservative Party,37316
E14000616,Conservative Party,Labour Party,1577
E14000617,Labour Party,Liberal Democratic Party,12661
E14000618,Conservative Party,Labour Party,8391
E14000619,Labour Party,Conservative Party,187
W07000050,Labour Party,Conservative Party,17196
W07000051,Labour Party,Conservative Party,4174
W07000080,Labour Party,Conservative Party,14864
W07000079,Labour Party,Conservative Party,12551
E14000620,Conservative Party,Labour Party,2599
W07000067,Plaid Cymru,Labour Party,3908
W07000066,Conservative Party,Labour Party,3110
E14000621,Liberal Democratic Party,Conservative Party,1369
E14000622,Conservative Party,Labour Party,18872
S14000010,Scottish National Party,Conservative Party,1267
E14000623,Conservative Party,Labour Party,15680
E14000624,Conservative Party,Labour Party,17185
W07000064,Plaid Cymru,Liberal Democratic Party,104
E14000625,Conservative Party,Labour Party,16341
E14000626,Conservative Party,Labour Party,10458
E14000627,Conservative Party,Liberal Democratic Party,4507
E14000628,Conservative Party,Labour Party,13572
E14000629,Conservative Party,Labour Party,8188
E14000630,Conservative Party,Liberal Democratic Party,2569
E14000631,Conservative Party,Labour Party,22140
E14000632,Labour Party,Conservative Party,9605
E14000633,Conservative Party,Labour Party,22621
E14000634,Conservative Party,Labour Party,2438
E14000635,Conservative Party,Liberal Democratic Party,16630
E14000636,Conservative Party,Labour Party,353
E14000637,Labour Party,Conservative Party,7512
E14000638,Conservative Party,Labour Party,25171
E14000639,Conservative Party,Labour Party,3148
E14000640,Labour Party,Conservative Party,9176
E14000641,Labour Party,Conservative Party,12364
E14000642,Conservative Party,Labour Party,15828
E14000643,Conservative Party,Labour Party,10400
W07000062,Labour Party,Conservative Party,4356
W07000059,Conservative Party,Labour Party,3437
S14000011,Labour Party,Scottish National Party,1586
E14000644,Conservative Party,Labour Party,5677
E14000645,Labour Party,Conservative Party,915
E14000646,Conservative Party,Labour Party,12619
E14000647,Conservative Party,Labour Party,1695
E14000648,Conservative Party,Labour Party,2690
E14000649,Labour Party,Conservative Party,15580
E14000650,Labour Party,Conservative Party,8580
E14000651,Labour Party,Conservative Party,7947
E14000652,Conservative Party,Labour Party,2457
E14000653,Labour Party,Conservative Party,48
E14000654,Labour Party,Conservative Party,5652
E14000655,Labour Party,Conservative Party,32365
E14000656,Conservative Party,Labour Party,11406
S14000012,Scottish National Party,Labour Party,4264
W07000070,Labour Party,Conservative Party,13238
E14000657,Labour Party,Conservative Party,4652
E14000658,Labour Party,Conservative Party,3280
E14000659,Conservative Party,Labour Party,13186
E14000660,Conservative Party,Labour Party,21734
W07000042,Labour Party,Conservative Party,4240
E14000661,Labour Party,Conservative Party,14077
E14000662,Labour Party,Conservative Party,2015
E14000664,Conservative Party,Labour Party,14327
E14000663,Labour Party,Conservative Party,11248
E14000665,Conservative Party,Labour Party,21136
E14000666,Labour Party,Conservative Party,3321
E14000668,Labour Party,Conservative Party,10131
E14000669,Labour Party,Conservative Party,14024
E14000667,Labour Party,Conservative Party,5169
E14000670,Conservative Party,Labour Party,6437
E14000671,Labour Party,Conservative Party,22
E14000672,Conservative Party,Labour Party,7730
E14000673,Labour Party,Conservative Party,28156
S14000013,Conservative Party,Scottish National Party,5643
S14000014,Conservative Party,Scottish National Party,9441
S14000015,Scottish National Party,Conservative Party,6645
S14000016,Scottish National Party,Labour Party,5262
S14000017,Scottish National Party,Labour Party,844
W07000061,Plaid Cymru,Conservative Party,4850
E14000674,Labour Party,Conservative Party,13807
E14000675,Labour Party,Conservative Party,19693
E14000676,Labour Party,Conservative Party,22090
E14000677,Labour Party,Conservative Party,14892
N06000005,Democratic Unionist Party,Alliance Party of Northern Ireland,15923
E14000684,Liberal Democratic Party,Conservative Party,1609
E14000678,Conservative Party,Independent,8036
S14000018,Liberal Democratic Party,Scottish National Party,5339
E14000679,Labour Party,Conservative Party,39883
E14000680,Conservative Party,Labour Party,25852
S14000019,Scottish National Party,Labour Party,3866
E14000685,Conservative Party,Liberal Democratic Party,14179
N06000006,Democratic Unionist Party,Sinn FŽin,8842
S14000020,Labour Party,Scottish National Party,3083
S14000021,Conservative Party,Scottish National Party,4712
E14000681,Conservative Party,Labour Party,23914
E14000682,Conservative Party,Labour Party,5106
E14000683,Conservative Party,Labour Party,15006
E14000686,Conservative Party,Labour Party,11942
S14000022,Scottish National Party,Labour Party,3425
S14000023,Scottish National Party,Labour Party,1625
S14000024,Labour Party,Scottish National Party,15514
S14000025,Scottish National Party,Conservative Party,1097
S14000026,Liberal Democratic Party,Scottish National Party,2988
E14000687,Labour Party,Conservative Party,21115
E14000688,Labour Party,Conservative Party,11390
E14000689,Conservative Party,Labour Party,9805
E14000690,Labour Party,Conservative Party,6296
E14000691,Labour Party,Conservative Party,10247
E14000692,Labour Party,Conservative Party,4355
E14000693,Conservative Party,Labour Party,18243
E14000694,Conservative Party,Labour Party,20475
E14000695,Conservative Party,Labour Party,4534
E14000696,Labour Party,Conservative Party,10014
E14000697,Conservative Party,Labour Party,23298
E14000698,Labour Party,Conservative Party,16117
S14000028,Scottish National Party,Labour Party,4923
E14000699,Conservative Party,Labour Party,21555
E14000700,Conservative Party,Labour Party,17413
E14000701,Labour Party,Conservative Party,15603
N06000007,Sinn FŽin,Ulster Unionist Party,875
E14000702,Conservative Party,Labour Party,4190
E14000703,Conservative Party,Labour Party,1657
E14000704,Conservative Party,Labour Party,15411
E14000705,Conservative Party,Labour Party,9502
N06000008,Sinn FŽin,Social Democratic and Labour Party,169
E14000706,Conservative Party,Labour Party,11805
E14000707,Conservative Party,Labour Party,17023
E14000708,Labour Party,Conservative Party,32149
E14000709,Labour Party,Conservative Party,17350
E14000710,Labour Party,Conservative Party,4694
E14000711,Conservative Party,Labour Party,9430
S14000029,Scottish National Party,Labour Party,2267
S14000030,Scottish National Party,Labour Party,75
S14000031,Scottish National Party,Labour Party,1060
S14000032,Labour Party,Scottish National Party,242
S14000033,Scottish National Party,Labour Party,2561
S14000034,Scottish National Party,Labour Party,2027
S14000035,Scottish National Party,Labour Party,60
S14000036,Scottish National Party,Labour Party,3267
E14000712,Conservative Party,Labour Party,5520
S14000037,Conservative Party,Scottish National Party,2607
E14000713,Conservative Party,Labour Party,17211
W07000046,Labour Party,Conservative Party,3269
E14000714,Conservative Party,Labour Party,20094
E14000715,Conservative Party,Labour Party,9347
E14000716,Labour Party,Conservative Party,2565
E14000717,Conservative Party,Labour Party,7973
E14000718,Labour Party,Conservative Party,20714
E14000719,Conservative Party,Liberal Democratic Party,17040
E14000720,Labour Party,Conservative Party,35139
E14000721,Labour Party,Conservative Party,37931
E14000722,Conservative Party,Labour Party,5253
E14000723,Labour Party,Conservative Party,5376
E14000724,Conservative Party,Labour Party,15405
E14000725,Labour Party,Conservative Party,25405
E14000726,Labour Party,Conservative Party,18651
E14000727,Labour Party,Conservative Party,15560
E14000728,Conservative Party,Labour Party,12429
E14000729,Conservative Party,Labour Party,7031
E14000730,Conservative Party,Liberal Democratic Party,18168
E14000731,Conservative Party,Labour Party,1757
E14000732,Labour Party,Conservative Party,13314
E14000733,Labour Party,Conservative Party,7650
E14000734,Conservative Party,Labour Party,14356
E14000735,Conservative Party,Labour Party,346
E14000736,Conservative Party,Labour Party,15956
E14000737,Labour Party,Conservative Party,18115
E14000738,Conservative Party,Liberal Democratic Party,5514
E14000739,Conservative Party,Labour Party,9445
E14000740,Labour Party,Conservative Party,10174
E14000741,Conservative Party,Labour Party,1072
E14000742,Conservative Party,Labour Party,22294
E14000743,Conservative Party,Labour Party,15013
E14000744,Conservative Party,Labour Party,19035
E14000745,Conservative Party,Labour Party,16951
E14000746,Conservative Party,Labour Party,9236
E14000747,Labour Party,Conservative Party,7617
E14000748,Labour Party,Conservative Party,2322
E14000749,Conservative Party,Labour Party,12031
E14000750,Labour Party,Conservative Party,30509
E14000751,Conservative Party,Labour Party,17723
E14000752,Labour Party,Liberal Democratic Party,30738
E14000753,Conservative Party,Labour Party,23484
E14000754,Labour Party,Conservative Party,12341
E14000755,Labour Party,Conservative Party,18757
E14000756,Labour Party,Conservative Party,12005
E14000757,Conservative Party,Labour Party,14475
E14000758,Labour Party,Conservative Party,5815
E14000759,Labour Party,Conservative Party,9639
E14000760,Labour Party,Conservative Party,31647
S14000038,Scottish National Party,Labour Party,384
S14000039,Scottish National Party,Conservative Party,4924
E14000761,Labour Party,Conservative Party,831
E14000762,Conservative Party,Labour Party,21069
E14000763,Labour Party,Conservative Party,33215
E14000764,Labour Party,Conservative Party,20263
W07000077,Labour Party,Conservative Party,11412
E14000765,Labour Party,Conservative Party,17263
E14000766,Labour Party,Conservative Party,239
E14000767,Conservative Party,Labour Party,18076
E14000768,Labour Party,Conservative Party,20
E14000769,Conservative Party,Labour Party,10562
S14000040,Scottish National Party,Labour Party,6269
E14000770,Liberal Democratic Party,Conservative Party,4124
E14000771,Labour Party,Conservative Party,10396
E14000772,Labour Party,Conservative Party,14322
E14000773,Labour Party,Conservative Party,8025
E14000774,Conservative Party,Labour Party,7500
S14000041,Labour Party,Scottish National Party,259
E14000775,Labour Party,Conservative Party,42214
N06000009,Democratic Unionist Party,Ulster Unionist Party,19229
S14000042,Scottish National Party,Conservative Party,266
E14000776,Labour Party,Conservative Party,6661
E14000777,Labour Party,Conservative Party,23698
E14000778,Labour Party,Conservative Party,12752
E14000779,Labour Party,Conservative Party,16991
E14000780,Labour Party,Liberal Democratic Party,4224
E14000781,Labour Party,Conservative Party,15965
