x,elev,profileID
0.0000,108,1
0.0036,105,1
0.0072,107,1
0.0109,108,1
0.0145,113,1
0.0181,118,1
0.0217,130,1
0.0254,141,1
0.0290,154,1
0.0326,161,1
0.0362,161,1
0.0399,162,1
0.0435,163,1
0.0471,156,1
0.0507,166,1
0.0543,174,1
0.0580,179,1
0.0616,182,1
0.0652,183,1
0.0688,181,1
0.0725,184,1
0.0761,199,1
0.0797,208,1
0.0833,213,1
0.0870,223,1
0.0906,226,1
0.0942,229,1
0.0978,239,1
0.1014,234,1
0.1051,240,1
0.1087,233,1
0.1123,233,1
0.1159,230,1
0.1196,231,1
0.1232,234,1
0.1268,235,1
0.1304,240,1
0.1341,243,1
0.1377,248,1
0.1413,254,1
0.1449,266,1
0.1486,275,1
0.1522,287,1
0.1558,293,1
0.1594,322,1
0.1630,349,1
0.1667,368,1
0.1703,378,1
0.1739,391,1
0.1775,419,1
0.1812,430,1
0.1848,457,1
0.1884,477,1
0.1920,492,1
0.1957,525,1
0.1993,550,1
0.2029,566,1
0.2065,587,1
0.2101,618,1
0.2138,626,1
0.2174,649,1
0.2210,674,1
0.2246,689,1
0.2283,703,1
0.2319,709,1
0.2355,712,1
0.2391,728,1
0.2428,759,1
0.2464,759,1
0.2500,780,1
0.2536,790,1
0.2572,798,1
0.2609,790,1
0.2645,758,1
0.2681,769,1
0.2717,762,1
0.2754,777,1
0.2790,780,1
0.2826,777,1
0.2862,772,1
0.2899,770,1
0.2935,775,1
0.2971,776,1
0.3007,781,1
0.3043,791,1
0.3080,795,1
0.3116,794,1
0.3152,790,1
0.3188,786,1
0.3225,780,1
0.3261,777,1
0.3297,765,1
0.3333,760,1
0.3370,758,1
0.3406,746,1
0.3442,733,1
0.3478,719,1
0.3515,704,1
0.3551,694,1
0.3587,683,1
0.3623,669,1
0.3659,659,1
0.3696,653,1
0.3732,644,1
0.3768,672,1
0.3804,669,1
0.3841,669,1
0.3877,699,1
0.3913,697,1
0.3949,701,1
0.3986,723,1
0.4022,730,1
0.4058,737,1
0.4094,742,1
0.4130,750,1
0.4167,758,1
0.4203,763,1
0.4239,771,1
0.4275,774,1
0.4312,778,1
0.4348,770,1
0.4384,771,1
0.4420,773,1
0.4457,763,1
0.4493,764,1
0.4529,762,1
0.4565,760,1
0.4601,762,1
0.4638,770,1
0.4674,774,1
0.4710,775,1
0.4746,781,1
0.4783,772,1
0.4819,763,1
0.4855,755,1
0.4891,742,1
0.4928,730,1
0.4964,716,1
0.5000,708,1
0.5036,692,1
0.5072,692,1
0.5109,674,1
0.5145,681,1
0.5181,675,1
0.5217,648,1
0.5254,648,1
0.5290,605,1
0.5326,577,1
0.5362,554,1
0.5399,506,1
0.5435,479,1
0.5471,450,1
0.5507,408,1
0.5543,382,1
0.5580,361,1
0.5616,327,1
0.5652,312,1
0.5688,285,1
0.5725,279,1
0.5761,275,1
0.5797,275,1
0.5833,288,1
0.5870,319,1
0.5906,348,1
0.5942,348,1
0.5978,396,1
0.6014,421,1
0.6051,421,1
0.6087,477,1
0.6123,496,1
0.6159,525,1
0.6196,545,1
0.6232,553,1
0.6268,557,1
0.6304,568,1
0.6341,587,1
0.6377,594,1
0.6413,596,1
0.6449,607,1
0.6486,621,1
0.6522,638,1
0.6558,653,1
0.6594,668,1
0.6630,679,1
0.6667,690,1
0.6703,693,1
0.6739,684,1
0.6775,675,1
0.6812,664,1
0.6848,654,1
0.6884,644,1
0.6920,630,1
0.6957,608,1
0.6993,577,1
0.7029,549,1
0.7065,517,1
0.7101,514,1
0.7138,476,1
0.7174,445,1
0.7210,450,1
0.7246,423,1
0.7283,415,1
0.7319,396,1
0.7355,420,1
0.7391,402,1
0.7428,421,1
0.7464,401,1
0.7500,398,1
0.7536,387,1
0.7572,387,1
0.7609,374,1
0.7645,342,1
0.7681,326,1
0.7717,306,1
0.7754,276,1
0.7790,258,1
0.7826,227,1
0.7862,205,1
0.7899,182,1
0.7935,161,1
0.7971,153,1
0.8007,158,1
0.8043,161,1
0.8080,167,1
0.8116,182,1
0.8152,193,1
0.8188,215,1
0.8225,235,1
0.8261,276,1
0.8297,285,1
0.8333,309,1
0.8370,324,1
0.8406,310,1
0.8442,310,1
0.8478,279,1
0.8514,255,1
0.8551,236,1
0.8587,210,1
0.8623,171,1
0.8659,143,1
0.8696,129,1
0.8732,126,1
0.8768,125,1
0.8804,123,1
0.8841,123,1
0.8877,125,1
0.8913,126,1
0.8949,127,1
0.8986,131,1
0.9022,140,1
0.9058,145,1
0.9094,159,1
0.9130,176,1
0.9167,176,1
0.9203,195,1
0.9239,232,1
0.9275,260,1
0.9312,279,1
0.9348,337,1
0.9384,356,1
0.9420,407,1
0.9457,433,1
0.9493,442,1
0.9529,456,1
0.9565,479,1
0.9601,539,1
0.9638,563,1
0.9674,578,1
0.9710,584,1
0.9746,588,1
0.9783,602,1
0.9819,597,1
0.9855,604,1
0.9891,598,1
0.9928,593,1
0.9964,603,1
1.0000,600,1
0.0000,117,2
0.0053,117,2
0.0105,100,2
0.0158,82,2
0.0211,74,2
0.0263,67,2
0.0316,61,2
0.0368,61,2
0.0421,61,2
0.0474,65,2
0.0526,65,2
0.0579,71,2
0.0632,71,2
0.0684,70,2
0.0737,70,2
0.0789,65,2
0.0842,61,2
0.0895,56,2
0.0947,57,2
0.1000,60,2
0.1053,64,2
0.1105,69,2
0.1158,78,2
0.1211,85,2
0.1263,86,2
0.1316,91,2
0.1368,91,2
0.1421,90,2
0.1474,92,2
0.1526,90,2
0.1579,89,2
0.1632,81,2
0.1684,78,2
0.1737,77,2
0.1789,76,2
0.1842,77,2
0.1895,80,2
0.1947,80,2
0.2000,82,2
0.2053,94,2
0.2105,96,2
0.2158,130,2
0.2211,137,2
0.2263,180,2
0.2316,189,2
0.2368,193,2
0.2421,255,2
0.2474,271,2
0.2526,293,2
0.2579,293,2
0.2632,302,2
0.2684,293,2
0.2737,281,2
0.2789,283,2
0.2842,269,2
0.2895,263,2
0.2947,270,2
0.3000,267,2
0.3053,272,2
0.3105,258,2
0.3158,247,2
0.3211,250,2
0.3263,250,2
0.3316,234,2
0.3368,242,2
0.3421,280,2
0.3474,270,2
0.3526,269,2
0.3579,289,2
0.3632,282,2
0.3684,288,2
0.3737,232,2
0.3789,230,2
0.3842,268,2
0.3895,284,2
0.3947,302,2
0.4000,319,2
0.4053,329,2
0.4105,359,2
0.4158,387,2
0.4211,400,2
0.4263,414,2
0.4316,418,2
0.4368,415,2
0.4421,415,2
0.4474,380,2
0.4526,379,2
0.4579,362,2
0.4632,360,2
0.4684,362,2
0.4737,347,2
0.4789,338,2
0.4842,345,2
0.4895,360,2
0.4947,369,2
0.5000,371,2
0.5053,379,2
0.5105,382,2
0.5158,391,2
0.5211,390,2
0.5263,382,2
0.5316,390,2
0.5368,386,2
0.5421,384,2
0.5474,365,2
0.5526,344,2
0.5579,317,2
0.5632,306,2
0.5684,285,2
0.5737,255,2
0.5789,226,2
0.5842,202,2
0.5895,185,2
0.5947,167,2
0.6000,147,2
0.6053,131,2
0.6105,116,2
0.6158,108,2
0.6211,105,2
0.6263,104,2
0.6316,104,2
0.6368,104,2
0.6421,104,2
0.6474,105,2
0.6526,106,2
0.6579,113,2
0.6632,123,2
0.6684,144,2
0.6737,160,2
0.6789,172,2
0.6842,187,2
0.6895,196,2
0.6947,218,2
0.7000,237,2
0.7053,257,2
0.7105,257,2
0.7158,262,2
0.7211,279,2
0.7263,296,2
0.7316,310,2
0.7368,330,2
0.7421,353,2
0.7474,380,2
0.7526,382,2
0.7579,391,2
0.7632,400,2
0.7684,399,2
0.7737,422,2
0.7789,422,2
0.7842,435,2
0.7895,456,2
0.7947,457,2
0.8000,445,2
0.8053,427,2
0.8105,417,2
0.8158,421,2
0.8211,416,2
0.8263,406,2
0.8316,389,2
0.8368,379,2
0.8421,389,2
0.8474,400,2
0.8526,407,2
0.8579,411,2
0.8632,407,2
0.8684,372,2
0.8737,372,2
0.8789,370,2
0.8842,349,2
0.8895,341,2
0.8947,328,2
0.9000,300,2
0.9053,278,2
0.9105,257,2
0.9158,247,2
0.9211,224,2
0.9263,204,2
0.9316,202,2
0.9368,161,2
0.9421,136,2
0.9474,104,2
0.9526,89,2
0.9579,86,2
0.9632,86,2
0.9684,86,2
0.9737,86,2
0.9789,86,2
0.9842,86,2
0.9895,86,2
0.9947,87,2
1.0000,88,2
0.0000,129,3
0.0070,130,3
0.0140,131,3
0.0210,130,3
0.0280,129,3
0.0350,128,3
0.0420,128,3
0.0490,133,3
0.0559,133,3
0.0629,141,3
0.0699,139,3
0.0769,139,3
0.0839,140,3
0.0909,140,3
0.0979,144,3
0.1049,144,3
0.1119,140,3
0.1189,140,3
0.1259,138,3
0.1329,140,3
0.1399,137,3
0.1469,139,3
0.1538,136,3
0.1608,137,3
0.1678,138,3
0.1748,135,3
0.1818,135,3
0.1888,156,3
0.1958,156,3
0.2028,189,3
0.2098,196,3
0.2168,196,3
0.2238,214,3
0.2308,222,3
0.2378,227,3
0.2448,227,3
0.2517,230,3
0.2587,230,3
0.2657,240,3
0.2727,249,3
0.2797,254,3
0.2867,266,3
0.2937,280,3
0.3007,284,3
0.3077,291,3
0.3147,300,3
0.3217,300,3
0.3287,303,3
0.3357,310,3
0.3427,312,3
0.3497,312,3
0.3566,319,3
0.3636,313,3
0.3706,308,3
0.3776,308,3
0.3846,303,3
0.3916,297,3
0.3986,297,3
0.4056,281,3
0.4126,271,3
0.4196,270,3
0.4266,270,3
0.4336,270,3
0.4406,256,3
0.4476,249,3
0.4545,249,3
0.4615,241,3
0.4685,245,3
0.4755,263,3
0.4825,270,3
0.4895,274,3
0.4965,274,3
0.5035,259,3
0.5105,263,3
0.5175,254,3
0.5245,254,3
0.5315,247,3
0.5385,234,3
0.5455,215,3
0.5524,215,3
0.5594,190,3
0.5664,169,3
0.5734,153,3
0.5804,151,3
0.5874,141,3
0.5944,123,3
0.6014,109,3
0.6084,109,3
0.6154,100,3
0.6224,97,3
0.6294,88,3
0.6364,88,3
0.6434,81,3
0.6503,72,3
0.6573,68,3
0.6643,64,3
0.6713,61,3
0.6783,59,3
0.6853,60,3
0.6923,60,3
0.6993,60,3
0.7063,59,3
0.7133,53,3
0.7203,52,3
0.7273,52,3
0.7343,52,3
0.7413,52,3
0.7483,55,3
0.7552,54,3
0.7622,54,3
0.7692,54,3
0.7762,56,3
0.7832,56,3
0.7902,65,3
0.7972,70,3
0.8042,85,3
0.8112,91,3
0.8182,102,3
0.8252,118,3
0.8322,125,3
0.8392,129,3
0.8462,131,3
0.8531,130,3
0.8601,120,3
0.8671,116,3
0.8741,116,3
0.8811,112,3
0.8881,109,3
0.8951,111,3
0.9021,111,3
0.9091,110,3
0.9161,111,3
0.9231,114,3
0.9301,116,3
0.9371,116,3
0.9441,117,3
0.9510,120,3
0.9580,120,3
0.9650,121,3
0.9720,134,3
0.9790,134,3
0.9860,156,3
0.9930,171,3
1.0000,171,3
0.0000,50,4
0.0172,50,4
0.0345,50,4
0.0517,48,4
0.0690,46,4
0.0862,48,4
0.1034,44,4
0.1207,46,4
0.1379,43,4
0.1552,40,4
0.1724,40,4
0.1897,38,4
0.2069,37,4
0.2241,37,4
0.2414,37,4
0.2586,37,4
0.2759,37,4
0.2931,37,4
0.3103,38,4
0.3276,41,4
0.3448,41,4
0.3621,45,4
0.3793,46,4
0.3966,50,4
0.4138,49,4
0.4310,49,4
0.4483,50,4
0.4655,55,4
0.4828,60,4
0.5000,60,4
0.5172,60,4
0.5345,58,4
0.5517,58,4
0.5690,57,4
0.5862,56,4
0.6034,55,4
0.6207,53,4
0.6379,54,4
0.6552,50,4
0.6724,48,4
0.6897,46,4
0.7069,44,4
0.7241,43,4
0.7414,48,4
0.7586,59,4
0.7759,59,4
0.7931,63,4
0.8103,70,4
0.8276,80,4
0.8448,108,4
0.8621,102,4
0.8793,136,4
0.8966,169,4
0.9138,174,4
0.9310,174,4
0.9483,197,4
0.9655,205,4
0.9828,200,4
1.0000,202,4