from,to,volume
MO,ME,349
MO,MD,1253
MO,MA,1227
MO,MI,1926
MO,MN,2483
MO,MS,1991
MO,MO,-1
MO,MT,187
MO,NE,2835
MO,NV,1130
MO,NH,359
MO,NJ,336
MO,NM,675
MO,NY,2335
MO,NC,2993
MO,ND,540
MO,OH,3410
MO,OK,5861
MO,OR,681
MO,PA,979
MO,RI,287
MO,SC,2960
MO,SD,191
MO,TN,5139
MO,TX,21257
MO,UT,977
MO,VT,126
MO,VA,4988
MO,WA,2837
MO,WV,71
MO,WI,2670
MO,WY,914
MT,AL,76
MT,AK,534
MT,AZ,1419
MT,AR,76
MT,CA,2481
MT,CO,3731
MT,CT,35
MT,DE,0
MT,DC,92
MT,FL,1007
MT,GA,1018
MT,HI,165
MT,ID,2880
MT,IL,317
MT,IN,248
MT,IA,499
MT,KS,411
MT,KY,109
MT,LA,222
MT,ME,246
MT,MD,223
MT,MA,216
MT,MI,527
MT,MN,812
MT,MS,432
MT,MO,499
MT,MT,-1
MT,NE,108
MT,NV,515
MT,NH,0
MT,NJ,0
MT,NM,303
MT,NY,372
MT,NC,331
MT,ND,2167
MT,OH,677
MT,OK,46
MT,OR,1515
MT,PA,328
MT,RI,0
MT,SC,553
MT,SD,428
MT,TN,122
MT,TX,1626
MT,UT,1548
MT,VT,0
MT,VA,0
MT,WA,4467
MT,WV,0
MT,WI,410
MT,WY,1501
NE,AL,756
NE,AK,413
NE,AZ,1663
NE,AR,76
NE,CA,3619
NE,CO,6025
NE,CT,0
NE,DE,86
NE,DC,0
NE,FL,3893
NE,GA,2097
NE,HI,481
NE,ID,146
NE,IL,881
NE,IN,286
NE,IA,8119
NE,KS,2042
NE,KY,90
NE,LA,44
NE,ME,0
NE,MD,576
NE,MA,194
NE,MI,1147
NE,MN,1830
NE,MS,59
NE,MO,2071
NE,MT,93
NE,NE,-1
NE,NV,671
NE,NH,0
NE,NJ,167
NE,NM,344
NE,NY,866
NE,NC,1052
NE,ND,13
NE,OH,1796
NE,OK,965
NE,OR,96
NE,PA,328
NE,RI,37
NE,SC,541
NE,SD,3735
NE,TN,913
NE,TX,2959
NE,UT,377
NE,VT,27
NE,VA,407
NE,WA,1354
NE,WV,0
NE,WI,345
NE,WY,782
NV,AL,97
NV,AK,2013
NV,AZ,8057
NV,AR,84
NV,CA,22433
NV,CO,3455
NV,CT,149
NV,DE,0
NV,DC,36
NV,FL,3772
NV,GA,674
NV,HI,502
NV,ID,3736
NV,IL,1555
NV,IN,1470
NV,IA,817
NV,KS,636
NV,KY,270
NV,LA,2065
NV,ME,23
NV,MD,120
NV,MA,321
NV,MI,1684
NV,MN,848
NV,MS,1023
NV,MO,1481
NV,MT,251
NV,NE,567
NV,NV,-1
NV,NH,453
NV,NJ,204
NV,NM,868
NV,NY,1853
NV,NC,857
NV,ND,14
NV,OH,1460
NV,OK,1106
NV,OR,5375
NV,PA,409
NV,RI,42
NV,SC,375
NV,SD,56
NV,TN,789
NV,TX,6215
NV,UT,4383
NV,VT,110
NV,VA,1198
NV,WA,4222
NV,WV,27
NV,WI,1350
NV,WY,286
NH,AL,0
NH,AK,0
NH,AZ,1500
NH,AR,156
NH,CA,682
NH,CO,183
NH,CT,939
NH,DE,157
NH,DC,130
NH,FL,5137
NH,GA,103
NH,HI,0
NH,ID,0
NH,IL,42
NH,IN,348
NH,IA,0
NH,KS,0
NH,KY,179
NH,LA,0
NH,ME,4731
NH,MD,1065
NH,MA,11251
NH,MI,622
NH,MN,110
NH,MS,0
NH,MO,0
NH,MT,257
NH,NE,0
NH,NV,165
NH,NH,-1
NH,NJ,946
NH,NM,538
NH,NY,2474
NH,NC,1862
NH,ND,0
NH,OH,28
NH,OK,0
NH,OR,0
NH,PA,917
NH,RI,677
NH,SC,787
NH,SD,56
NH,TN,649
NH,TX,1166
NH,UT,269
NH,VT,2877
NH,VA,1464
NH,WA,580
NH,WV,0
NH,WI,251
NH,WY,335
NJ,AL,1213
NJ,AK,335
NJ,AZ,4084
NJ,AR,277
NJ,CA,11666
NJ,CO,1780
NJ,CT,4573
NJ,DE,6112
NJ,DC,2382
NJ,FL,30105
NJ,GA,9055
NJ,HI,24
NJ,ID,27
NJ,IL,3488
NJ,IN,2482
NJ,IA,20
NJ,KS,613
NJ,KY,114
NJ,LA,629
NJ,ME,389
NJ,MD,6333
NJ,MA,8026
NJ,MI,2313
NJ,MN,231
NJ,MS,154
NJ,MO,1628
NJ,MT,90
NJ,NE,255
NJ,NV,2179
NJ,NH,534
NJ,NJ,-1
NJ,NM,1021
NJ,NY,36401
NJ,NC,11947
NJ,ND,170
NJ,OH,3585
NJ,OK,390
NJ,OR,1143
NJ,PA,43726
NJ,RI,1038
NJ,SC,4921
NJ,SD,0
NJ,TN,2231
NJ,TX,5906
NJ,UT,646
NJ,VT,1343
NJ,VA,9605
NJ,WA,4488
NJ,WV,546
NJ,WI,1098
NJ,WY,5
NM,AL,58
NM,AK,489
NM,AZ,6866
NM,AR,214
NM,CA,3822
NM,CO,11444
NM,CT,0
NM,DE,30
NM,DC,0
NM,FL,2558
NM,GA,1619
NM,HI,122
NM,ID,181
NM,IL,1041
NM,IN,666
NM,IA,358
NM,KS,683
NM,KY,598
NM,LA,1235
NM,ME,97
NM,MD,1195
NM,MA,78
NM,MI,331
NM,MN,406
NM,MS,0
NM,MO,605
NM,MT,1118
NM,NE,455
NM,NV,2121
NM,NH,102
NM,NJ,0
NM,NM,-1
NM,NY,647
NM,NC,2306
NM,ND,1285
NM,OH,1148
NM,OK,1528
NM,OR,1440
NM,PA,1335
NM,RI,43
NM,SC,944
NM,SD,299
NM,TN,366
NM,TX,17670
NM,UT,1014
NM,VT,101
NM,VA,1394
NM,WA,1950
NM,WV,35
NM,WI,1950
NM,WY,512
NY,AL,3226
NY,AK,380
NY,AZ,5281
NY,AR,139
NY,CA,34848
NY,CO,6362
NY,CT,27361
NY,DE,2907
NY,DC,4642
NY,FL,63033
NY,GA,10754
NY,HI,1416
NY,ID,2943
NY,IL,8838
NY,IN,1512
NY,IA,438
NY,KS,1656
NY,KY,3283
NY,LA,2106
NY,ME,2909
NY,MD,8372
NY,MA,19960
NY,MI,6478
NY,MN,3536
NY,MS,1319
NY,MO,3210
NY,MT,183
NY,NE,770
NY,NV,2770
NY,NH,1276
NY,NJ,64810
NY,NM,1099
NY,NY,-1
NY,NC,25596
NY,ND,2105
NY,OH,9067
NY,OK,1221
NY,OR,2842
NY,PA,43048
NY,RI,3252
NY,SC,12721
NY,SD,359
NY,TN,5312
NY,TX,18925
NY,UT,3413
NY,VT,4535
NY,VA,17983
NY,WA,7539
NY,WV,640
NY,WI,1246
NY,WY,393
NC,AL,2224
NC,AK,1676
NC,AZ,6587
NC,AR,638
NC,CA,11400
NC,CO,6336
NC,CT,1145
NC,DE,586
NC,DC,1026
NC,FL,26708
NC,GA,16957
NC,HI,843
NC,ID,1331
NC,IL,4544
NC,IN,2589
NC,IA,502
NC,KS,1178
NC,KY,3796
NC,LA,813
NC,ME,1049
NC,MD,6582
NC,MA,3170
NC,MI,3767
NC,MN,1934
NC,MS,357
NC,MO,2432
NC,MT,372
NC,NE,1362
NC,NV,903
NC,NH,1714
NC,NJ,6359
NC,NM,405
NC,NY,9270
NC,NC,-1
NC,ND,179
NC,OH,5818
NC,OK,819
NC,OR,3570
NC,PA,7579
NC,RI,673
NC,SC,27734
NC,SD,188
NC,TN,9388
NC,TX,17954
NC,UT,767
NC,VT,266
NC,VA,23916
NC,WA,5432
NC,WV,1889
NC,WI,1853
NC,WY,367
ND,AL,0
ND,AK,210
ND,AZ,2169
ND,AR,225
ND,CA,1909
ND,CO,1118
ND,CT,0
ND,DE,167
ND,DC,0
ND,FL,1485
ND,GA,364
ND,HI,0
ND,ID,261
ND,IL,540
ND,IN,0
ND,IA,495
ND,KS,0
ND,KY,61
ND,LA,0
ND,ME,134
ND,MD,291
ND,MA,0
ND,MI,311
ND,MN,9793
ND,MS,71
ND,MO,190
ND,MT,1978
ND,NE,393
ND,NV,0
ND,NH,60
ND,NJ,288
ND,NM,205
ND,NY,294
ND,NC,177
ND,ND,-1
ND,OH,221
ND,OK,13
ND,OR,238
ND,PA,446
ND,RI,173
ND,SC,498
ND,SD,1986
ND,TN,285
ND,TX,2456
ND,UT,482
ND,VT,0
ND,VA,470
ND,WA,1414
ND,WV,0
ND,WI,414
ND,WY,721
OH,AL,1299
OH,AK,176
OH,AZ,6322
OH,AR,857
OH,CA,13999
OH,CO,3169
OH,CT,1410
OH,DE,446
OH,DC,1592
OH,FL,22452
OH,GA,6935
OH,HI,510
OH,ID,82
OH,IL,6423
OH,IN,14794
OH,IA,969
OH,KS,3377
OH,KY,15246
OH,LA,963
OH,ME,788
OH,MD,3098
OH,MA,1123
OH,MI,13625
OH,MN,1134
OH,MS,799
OH,MO,2286
OH,MT,733
OH,NE,771
OH,NV,1913
OH,NH,258
OH,NJ,4034
OH,NM,1090
OH,NY,5284
OH,NC,9431
OH,ND,139
OH,OH,-1
OH,OK,932
OH,OR,1390
OH,PA,12317
OH,RI,623
OH,SC,5784
OH,SD,0
OH,TN,6273
OH,TX,9600
OH,UT,1382
OH,VT,201
OH,VA,6308
OH,WA,3080
OH,WV,7299
OH,WI,3759
OH,WY,473
OK,AL,931
OK,AK,184
OK,AZ,2530
OK,AR,8490
OK,CA,4901
OK,CO,5956
OK,CT,172
OK,DE,0
OK,DC,0
OK,FL,3190
OK,GA,3297
OK,HI,1172
OK,ID,795
OK,IL,1041
OK,IN,1316
OK,IA,711
OK,KS,7757
OK,KY,1130
OK,LA,469
OK,ME,217
OK,MD,831
OK,MA,261
OK,MI,396
OK,MN,1111
OK,MS,413
OK,MO,4602
OK,MT,239
OK,NE,795
OK,NV,1304
OK,NH,79
OK,NJ,254
OK,NM,2159
OK,NY,1303
OK,NC,2034
OK,ND,1631
OK,OH,35
OK,OK,-1
OK,OR,700
OK,PA,1576
OK,RI,0
OK,SC,228
OK,SD,0
OK,TN,2130
OK,TX,24590
OK,UT,127
OK,VT,71
OK,VA,1778
OK,WA,3423
OK,WV,49
OK,WI,790
OK,WY,306
OR,AL,0
OR,AK,1896
OR,AZ,13697
OR,AR,254
OR,CA,24050
OR,CO,2890
OR,CT,642
OR,DE,0
OR,DC,80
OR,FL,3639
OR,GA,909
OR,HI,1615
OR,ID,4735
OR,IL,1112
OR,IN,1020
OR,IA,173
OR,KS,456
OR,KY,1044
OR,LA,609
OR,ME,181
OR,MD,916
OR,MA,1013
OR,MI,1265
OR,MN,974
OR,MS,55
OR,MO,546
OR,MT,3284
OR,NE,818
OR,NV,3113
OR,NH,230
OR,NJ,195
OR,NM,2009
OR,NY,1414
OR,NC,3066
OR,ND,399
OR,OH,1737
OR,OK,1595
OR,OR,-1
OR,PA,1451
OR,RI,87
OR,SC,748
OR,SD,37
OR,TN,2314
OR,TX,6457
OR,UT,5136
OR,VT,125
OR,VA,497
OR,WA,31642
OR,WV,135
OR,WI,1550
OR,WY,888
PA,AL,1771
PA,AK,111
PA,AZ,3692
PA,AR,860
PA,CA,11848
PA,CO,4701
PA,CT,3446
PA,DE,9991
PA,DC,1617
PA,FL,31712
PA,GA,4527
PA,HI,580
PA,ID,937
PA,IL,5261
PA,IN,2764
PA,IA,367
PA,KS,967
PA,KY,1908
PA,LA,687
PA,ME,1393
PA,MD,12461
PA,MA,6014
PA,MI,4263
PA,MN,1282
PA,MS,1071
PA,MO,1605
PA,MT,271
PA,NE,285
PA,NV,1559
PA,NH,1585
PA,NJ,24132
PA,NM,1086
PA,NY,19339
PA,NC,12058
PA,ND,733
PA,OH,16881
PA,OK,941
PA,OR,1107
PA,PA,-1
PA,RI,422
PA,SC,7040
PA,SD,194
PA,TN,2504
PA,TX,9143
PA,UT,1104
PA,VT,520
PA,VA,13013
PA,WA,3105
PA,WV,6291
PA,WI,1537
PA,WY,146
RI,AL,0
RI,AK,38
RI,AZ,323
RI,AR,0
RI,CA,1738
RI,CO,706
RI,CT,2136
RI,DE,187
RI,DC,87
RI,FL,4219
RI,GA,196
RI,HI,0
RI,ID,0
RI,IL,414
RI,IN,0
RI,IA,0
RI,KS,0
RI,KY,0
RI,LA,0
RI,ME,317
RI,MD,138
RI,MA,10630
RI,MI,42
RI,MN,202
RI,MS,0
RI,MO,40
RI,MT,0
RI,NE,70
RI,NV,88
RI,NH,864
RI,NJ,223
RI,NM,0
RI,NY,1362
RI,NC,1535
RI,ND,0
RI,OH,42
RI,OK,56
RI,OR,0
RI,PA,535
RI,RI,-1
RI,SC,1684
RI,SD,0
RI,TN,183
RI,TX,933
RI,UT,50
RI,VT,235
RI,VA,1810
RI,WA,225
RI,WV,0
RI,WI,27
RI,WY,88
SC,AL,1218
SC,AK,389
SC,AZ,2252
SC,AR,121
SC,CA,4896
SC,CO,3203
SC,CT,1811
SC,DE,470
SC,DC,408
SC,FL,15250
SC,GA,16328
SC,HI,1072
SC,ID,62
SC,IL,3542
SC,IN,2473
SC,IA,174
SC,KS,287
SC,KY,1440
SC,LA,1205
SC,ME,503
SC,MD,2515
SC,MA,1135
SC,MI,2627
SC,MN,151
SC,MS,658
SC,MO,2259
SC,MT,675
SC,NE,72
SC,NV,615
SC,NH,1027
SC,NJ,1242
SC,NM,1270
SC,NY,4457
SC,NC,26091
SC,ND,114
SC,OH,4605
SC,OK,803
SC,OR,817
SC,PA,3272
SC,RI,43
SC,SC,-1
SC,SD,612
SC,TN,6061
SC,TX,8806
SC,UT,246
SC,VT,178
SC,VA,8776
SC,WA,2025
SC,WV,2329
SC,WI,619
SC,WY,54
SD,AL,281
SD,AK,175
SD,AZ,913
SD,AR,146
SD,CA,1296
SD,CO,2176
SD,CT,0
SD,DE,0
SD,DC,0
SD,FL,3062
SD,GA,522
SD,HI,50
SD,ID,0
SD,IL,746
SD,IN,0
SD,IA,1664
SD,KS,381
SD,KY,132
SD,LA,291
SD,ME,71
SD,MD,154
SD,MA,52
SD,MI,354
SD,MN,3896
SD,MS,0
SD,MO,522
SD,MT,375
SD,NE,2753
SD,NV,3
SD,NH,0
SD,NJ,0
SD,NM,0
SD,NY,431
SD,NC,57
SD,ND,1225
SD,OH,134
SD,OK,302
SD,OR,354
SD,PA,455
SD,RI,0
SD,SC,200
SD,SD,-1
SD,TN,1722
SD,TX,1979
SD,UT,318
SD,VT,0
SD,VA,223
SD,WA,163
SD,WV,45
SD,WI,374
SD,WY,750
TN,AL,12228
TN,AK,171
TN,AZ,1291
TN,AR,5492
TN,CA,8060
TN,CO,1444
TN,CT,743
TN,DE,103
TN,DC,690
TN,FL,13285
TN,GA,18283
TN,HI,723
TN,ID,482
TN,IL,7084
TN,IN,5409
TN,IA,588
TN,KS,1159
TN,KY,12498
TN,LA,1561
TN,ME,583
TN,MD,1670
TN,MA,2139
TN,MI,4017
TN,MN,1220
TN,MS,10004
TN,MO,3153
TN,MT,240
TN,NE,920
TN,NV,837
TN,NH,246
TN,NJ,431
TN,NM,776
TN,NY,3144
TN,NC,7476
TN,ND,644
TN,OH,5467
TN,OK,2210
TN,OR,303
TN,PA,2566
TN,RI,0
TN,SC,5666
TN,SD,301
TN,TN,-1
TN,TX,12229
TN,UT,814
TN,VT,305
TN,VA,7963
TN,WA,2567
TN,WV,2631
TN,WI,1330
TN,WY,104
TX,AL,5719
TX,AK,2322
TX,AZ,20245
TX,AR,15531
TX,CA,37810
TX,CO,26930
TX,CT,4044
TX,DE,378
TX,DC,1036
TX,FL,24197
TX,GA,22746
TX,HI,4180
TX,ID,2605
TX,IL,13412
TX,IN,6321
TX,IA,3400
TX,KS,7554
TX,KY,6360
TX,LA,23588
TX,ME,2386
TX,MD,7408
TX,MA,4116
TX,MI,7873
TX,MN,4757
TX,MS,5853
TX,MO,10799
TX,MT,2198
TX,NE,6429
TX,NV,5129
TX,NH,786
TX,NJ,6504
TX,NM,14250
TX,NY,14708
TX,NC,18748
TX,ND,1098
TX,OH,8189
TX,OK,31551
TX,OR,5403
TX,PA,9760
TX,RI,960
TX,SC,5387
TX,SD,279
TX,TN,12046
TX,TX,-1
TX,UT,7528
TX,VT,427
TX,VA,14918
TX,WA,18425
TX,WV,516
TX,WI,3977
TX,WY,1354
UT,AL,79
UT,AK,410
UT,AZ,5828
UT,AR,712
UT,CA,9440
UT,CO,4833
UT,CT,1305
UT,DE,99
UT,DC,215
UT,FL,3558
UT,GA,1123
UT,HI,413
UT,ID,6626
UT,IL,2642
UT,IN,608
UT,IA,506
UT,KS,1170
UT,KY,1201
UT,LA,603
UT,ME,142
UT,MD,1852
UT,MA,466
UT,MI,599
UT,MN,626
UT,MS,468
UT,MO,2886
UT,MT,891
UT,NE,448
UT,NV,7133
UT,NH,31
UT,NJ,19
UT,NM,1199
UT,NY,364
UT,NC,1735
UT,ND,321
UT,OH,1922
UT,OK,1944
UT,OR,2512
UT,PA,2041
UT,RI,194
UT,SC,2112
UT,SD,76
UT,TN,1186
UT,TX,6287
UT,UT,-1
UT,VT,329
UT,VA,2847
UT,WA,7466
UT,WV,111
UT,WI,1252
UT,WY,911
VT,AL,0
VT,AK,5
VT,AZ,37
VT,AR,0
VT,CA,1641
VT,CO,1043
VT,CT,595
VT,DE,305
VT,DC,213
VT,FL,1723
VT,GA,431
VT,HI,0
VT,ID,64
VT,IL,76
VT,IN,30
VT,IA,0
VT,KS,0
VT,KY,0
VT,LA,0
VT,ME,997
VT,MD,44
VT,MA,1979
VT,MI,142
VT,MN,85
VT,MS,0
VT,MO,236
VT,MT,56
VT,NE,0
VT,NV,26
VT,NH,1725
VT,NJ,0
VT,NM,192
VT,NY,4072
VT,NC,1208
VT,ND,0
VT,OH,314
VT,OK,152
VT,OR,495
VT,PA,1002
VT,RI,134
VT,SC,439
VT,SD,0
VT,TN,77
VT,TX,569
VT,UT,0
VT,VT,-1
VT,VA,607
VT,WA,8
VT,WV,0
VT,WI,110
VT,WY,0
VA,AL,5221
VA,AK,654
VA,AZ,4956
VA,AR,900
VA,CA,17725
VA,CO,9260
VA,CT,2294
VA,DE,1458
VA,DC,7773
VA,FL,31798
VA,GA,6992
VA,HI,3987
VA,ID,804
VA,IL,4710
VA,IN,2453
VA,IA,298
VA,KS,1368
VA,KY,3673
VA,LA,1330
VA,ME,874
VA,MD,26522
VA,MA,4260
VA,MI,4095
VA,MN,810
VA,MS,695
VA,MO,3228
VA,MT,248
VA,NE,674
VA,NV,1616
VA,NH,836
VA,NJ,2011
VA,NM,987
VA,NY,9302
VA,NC,27843
VA,ND,132
VA,OH,6695
VA,OK,1352
VA,OR,1628
VA,PA,10010
VA,RI,1278
VA,SC,6507
VA,SD,157
VA,TN,8172
VA,TX,18731
VA,UT,1526
VA,VT,903
VA,VA,-1
VA,WA,5887
VA,WV,6646
VA,WI,869
VA,WY,197
WA,AL,2125
WA,AK,2558
WA,AZ,17560
WA,AR,1328
WA,CA,38007
WA,CO,6686
WA,CT,1062
WA,DE,0
WA,DC,387
WA,FL,9045
WA,GA,3520
WA,HI,4351
WA,ID,14955
WA,IL,2855
WA,IN,1192
WA,IA,1244
WA,KS,1064
WA,KY,1238
WA,LA,884
WA,ME,283
WA,MD,1881
WA,MA,2069
WA,MI,3169
WA,MN,5889
WA,MS,128
WA,MO,2521
WA,MT,5450
WA,NE,654
WA,NV,6231
WA,NH,198
WA,NJ,1507
WA,NM,2714
WA,NY,1962
WA,NC,6790
WA,ND,683
WA,OH,2032
WA,OK,1258
WA,OR,21672
WA,PA,3059
WA,RI,501
WA,SC,3842
WA,SD,567
WA,TN,3245
WA,TX,16855
WA,UT,8186
WA,VT,165
WA,VA,6404
WA,WA,-1
WA,WV,185
WA,WI,1938
WA,WY,373
WV,AL,176
WV,AK,0
WV,AZ,29
WV,AR,72
WV,CA,1246
WV,CO,238
WV,CT,181
WV,DE,124
WV,DC,294
WV,FL,5760
WV,GA,1277
WV,HI,0
WV,ID,154
WV,IL,869
WV,IN,477
WV,IA,0
WV,KS,90
WV,KY,3776
WV,LA,567
WV,ME,0
WV,MD,5422
WV,MA,115
WV,MI,115
WV,MN,0
WV,MS,285
WV,MO,59
WV,MT,0
WV,NE,41
WV,NV,0
WV,NH,0
WV,NJ,304
WV,NM,204
WV,NY,1126
WV,NC,4624
WV,ND,0
WV,OH,6260
WV,OK,0
WV,OR,185
WV,PA,5485
WV,RI,0
WV,SC,1299
WV,SD,0
WV,TN,1705
WV,TX,924
WV,UT,75
WV,VT,0
WV,VA,2423
WV,WA,182
WV,WV,-1
WV,WI,265
WV,WY,118
WI,AL,996
WI,AK,340
WI,AZ,7788
WI,AR,130
WI,CA,5364
WI,CO,3100
WI,CT,328
WI,DE,0
WI,DC,346
WI,FL,7573
WI,GA,2627
WI,HI,142
WI,ID,42
WI,IL,13965
WI,IN,3228
WI,IA,4333
WI,KS,948
WI,KY,935
WI,LA,407
WI,ME,102
WI,MD,1731
WI,MA,703
WI,MI,3613
WI,MN,15270
WI,MS,1243
WI,MO,1546
WI,MT,774
WI,NE,336
WI,NV,1151
WI,NH,198
WI,NJ,505
WI,NM,285
WI,NY,1935
WI,NC,1920
WI,ND,475
WI,OH,2778
WI,OK,392
WI,OR,419
WI,PA,1725
WI,RI,77
WI,SC,1643
WI,SD,37
WI,TN,1492
WI,TX,5844
WI,UT,1346
WI,VT,179
WI,VA,1631
WI,WA,3381
WI,WV,437
WI,WI,-1
WI,WY,29
WY,AL,74
WY,AK,192
WY,AZ,929
WY,AR,0
WY,CA,1526
WY,CO,1951
WY,CT,0
WY,DE,0
WY,DC,68
WY,FL,744
WY,GA,1339
WY,HI,178
WY,ID,856
WY,IL,93
WY,IN,1008
WY,IA,240
WY,KS,606
WY,KY,0
WY,LA,97
WY,ME,0
WY,MD,147
WY,MA,44
WY,MI,101
WY,MN,424
WY,MS,747
WY,MO,610
WY,MT,1949
WY,NE,960
WY,NV,791
WY,NH,0
WY,NJ,0
WY,NM,248
WY,NY,18
WY,NC,1046
WY,ND,290
WY,OH,75
WY,OK,641
WY,OR,1277
WY,PA,156
WY,RI,0
WY,SC,266
WY,SD,651
WY,TN,121
WY,TX,2327
WY,UT,1534
WY,VT,45
WY,VA,266
WY,WA,1237
WY,WV,0
WY,WI,206
WY,WY,-1